2022-09-13 11:05:59 startup archives unpack
2022-09-13 11:06:01 install libexpat1-dev:amd64 <ninguna> 2.2.6-2+deb10u4
2022-09-13 11:06:01 status half-installed libexpat1-dev:amd64 2.2.6-2+deb10u4
2022-09-13 11:06:02 status unpacked libexpat1-dev:amd64 2.2.6-2+deb10u4
2022-09-13 11:06:02 install libpython2.7-dev:amd64 <ninguna> 2.7.16-2+deb10u1
2022-09-13 11:06:02 status half-installed libpython2.7-dev:amd64 2.7.16-2+deb10u1
2022-09-13 11:06:05 status triggers-pending man-db:amd64 2.8.5-2
2022-09-13 11:06:05 status unpacked libpython2.7-dev:amd64 2.7.16-2+deb10u1
2022-09-13 11:06:06 install libpython2-dev:amd64 <ninguna> 2.7.16-1
2022-09-13 11:06:06 status half-installed libpython2-dev:amd64 2.7.16-1
2022-09-13 11:06:06 status unpacked libpython2-dev:amd64 2.7.16-1
2022-09-13 11:06:06 install libpython-dev:amd64 <ninguna> 2.7.16-1
2022-09-13 11:06:06 status half-installed libpython-dev:amd64 2.7.16-1
2022-09-13 11:06:06 status unpacked libpython-dev:amd64 2.7.16-1
2022-09-13 11:06:07 install python2.7-dev:amd64 <ninguna> 2.7.16-2+deb10u1
2022-09-13 11:06:07 status half-installed python2.7-dev:amd64 2.7.16-2+deb10u1
2022-09-13 11:06:07 status unpacked python2.7-dev:amd64 2.7.16-2+deb10u1
2022-09-13 11:06:08 install python2-dev:amd64 <ninguna> 2.7.16-1
2022-09-13 11:06:08 status half-installed python2-dev:amd64 2.7.16-1
2022-09-13 11:06:08 status unpacked python2-dev:amd64 2.7.16-1
2022-09-13 11:06:08 install python-dev:amd64 <ninguna> 2.7.16-1
2022-09-13 11:06:08 status half-installed python-dev:amd64 2.7.16-1
2022-09-13 11:06:08 status unpacked python-dev:amd64 2.7.16-1
2022-09-13 11:06:09 install python-pip-whl:all <ninguna> 18.1-5
2022-09-13 11:06:09 status half-installed python-pip-whl:all 18.1-5
2022-09-13 11:06:09 status unpacked python-pip-whl:all 18.1-5
2022-09-13 11:06:09 install python3-lib2to3:all <ninguna> 3.7.3-1
2022-09-13 11:06:09 status half-installed python3-lib2to3:all 3.7.3-1
2022-09-13 11:06:10 status unpacked python3-lib2to3:all 3.7.3-1
2022-09-13 11:06:10 install python3-distutils:all <ninguna> 3.7.3-1
2022-09-13 11:06:10 status half-installed python3-distutils:all 3.7.3-1
2022-09-13 11:06:10 status unpacked python3-distutils:all 3.7.3-1
2022-09-13 11:06:11 install python3-pip:all <ninguna> 18.1-5
2022-09-13 11:06:11 status half-installed python3-pip:all 18.1-5
2022-09-13 11:06:11 status unpacked python3-pip:all 18.1-5
2022-09-13 11:06:11 startup packages configure
2022-09-13 11:06:11 configure libexpat1-dev:amd64 2.2.6-2+deb10u4 <ninguna>
2022-09-13 11:06:11 status unpacked libexpat1-dev:amd64 2.2.6-2+deb10u4
2022-09-13 11:06:11 status half-configured libexpat1-dev:amd64 2.2.6-2+deb10u4
2022-09-13 11:06:11 status installed libexpat1-dev:amd64 2.2.6-2+deb10u4
2022-09-13 11:06:11 configure python-pip-whl:all 18.1-5 <ninguna>
2022-09-13 11:06:11 status unpacked python-pip-whl:all 18.1-5
2022-09-13 11:06:11 status half-configured python-pip-whl:all 18.1-5
2022-09-13 11:06:12 status installed python-pip-whl:all 18.1-5
2022-09-13 11:06:12 configure python3-lib2to3:all 3.7.3-1 <ninguna>
2022-09-13 11:06:12 status unpacked python3-lib2to3:all 3.7.3-1
2022-09-13 11:06:12 status half-configured python3-lib2to3:all 3.7.3-1
2022-09-13 11:06:12 status installed python3-lib2to3:all 3.7.3-1
2022-09-13 11:06:12 configure python3-distutils:all 3.7.3-1 <ninguna>
2022-09-13 11:06:12 status unpacked python3-distutils:all 3.7.3-1
2022-09-13 11:06:12 status half-configured python3-distutils:all 3.7.3-1
2022-09-13 11:06:12 status installed python3-distutils:all 3.7.3-1
2022-09-13 11:06:12 configure libpython2.7-dev:amd64 2.7.16-2+deb10u1 <ninguna>
2022-09-13 11:06:12 status unpacked libpython2.7-dev:amd64 2.7.16-2+deb10u1
2022-09-13 11:06:12 status half-configured libpython2.7-dev:amd64 2.7.16-2+deb10u1
2022-09-13 11:06:12 status installed libpython2.7-dev:amd64 2.7.16-2+deb10u1
2022-09-13 11:06:13 configure python3-pip:all 18.1-5 <ninguna>
2022-09-13 11:06:13 status unpacked python3-pip:all 18.1-5
2022-09-13 11:06:13 status half-configured python3-pip:all 18.1-5
2022-09-13 11:06:13 status installed python3-pip:all 18.1-5
2022-09-13 11:06:13 configure libpython2-dev:amd64 2.7.16-1 <ninguna>
2022-09-13 11:06:13 status unpacked libpython2-dev:amd64 2.7.16-1
2022-09-13 11:06:13 status half-configured libpython2-dev:amd64 2.7.16-1
2022-09-13 11:06:13 status installed libpython2-dev:amd64 2.7.16-1
2022-09-13 11:06:13 configure python2.7-dev:amd64 2.7.16-2+deb10u1 <ninguna>
2022-09-13 11:06:13 status unpacked python2.7-dev:amd64 2.7.16-2+deb10u1
2022-09-13 11:06:13 status half-configured python2.7-dev:amd64 2.7.16-2+deb10u1
2022-09-13 11:06:14 status installed python2.7-dev:amd64 2.7.16-2+deb10u1
2022-09-13 11:06:14 configure python2-dev:amd64 2.7.16-1 <ninguna>
2022-09-13 11:06:14 status unpacked python2-dev:amd64 2.7.16-1
2022-07-13 11:06:14 status half-configured python2-dev:amd64 2.7.16-1
2022-09-13 11:06:14 status installed python2-dev:amd64 2.7.16-1
2022-09-13 11:06:14 configure libpython-dev:amd64 2.7.16-1 <ninguna>
2022-09-13 11:06:14 status unpacked libpython-dev:amd64 2.7.16-1
2022-09-13 11:06:14 status half-configured libpython-dev:amd64 2.7.16-1
2022-09-13 11:06:14 status installed libpython-dev:amd64 2.7.16-1
2022-09-13 11:06:14 configure python-dev:amd64 2.7.16-1 <ninguna>
2022-09-13 11:06:14 status unpacked python-dev:amd64 2.7.16-1
2022-09-13 11:06:14 status half-configured python-dev:amd64 2.7.16-1
2022-09-13 11:06:15 status installed python-dev:amd64 2.7.16-1
2022-09-13 11:06:15 trigproc man-db:amd64 2.8.5-2 <ninguna>
2022-09-13 11:06:15 status half-configured man-db:amd64 2.8.5-2
2022-09-13 11:06:15 status installed man-db:amd64 2.8.5-2
